title,company,major,requirements
Software Engineer,TechCorp,Computer Science,"Python, SQL, problem-solving"
Marketing Analyst,MarketMinds,Marketing,"Excel, data analysis, statistics"
AI Researcher,DeepTech,Computer Science,"Machine Learning, Python, AI"
Financial Analyst,MoneyMatters,Finance,"Excel, financial modeling, reporting"
Web Developer,WebGenie,Computer Science,"HTML, CSS, JavaScript, React"
Data Scientist,DataWorld,Computer Science,"Python, R, Machine Learning, SQL"
Graphic Designer,CreativeStudio,Design,"Photoshop, Illustrator, creativity"
HR Manager,PeoplePros,Business Administration,"communication, HR software, recruitment"
Content Writer,WordSmiths,Journalism,"writing, SEO, research"
Cybersecurity Analyst,SafetyNet,Computer Science,"network security, firewalls, threat analysis"
